,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Type_H,Type_L,Type_M,label
0,-1.7739658,-1.5465834,-0.10153937,-0.1612942,-1.9020158,False,True,False,no_failure
1,-1.0520501,-0.6541654,-0.61843276,0.6189272,-1.6844021,False,True,False,no_failure
2,2.0021663,2.5909731,0.5468712,-1.123119,-1.1476214,True,False,False,no_failure
3,-1.8850181,-1.6276921,-0.3615153,-0.24873303,0.7238574,False,True,False,no_failure
4,0.39176467,1.1306708,-0.1718858,0.44405,0.9269636,False,True,False,OSF
5,-1.4963099,-2.4389768,-0.1871785,-0.45051444,0.79639536,False,False,True,no_failure
6,-0.55227256,-0.8975408,-0.5542034,-0.28236327,1.0575318,False,True,False,no_failure
7,-0.4412034,-0.97867423,-0.3217543,0.19518623,-0.8574696,False,True,False,no_failure
8,-1.7739658,-1.2220497,-0.15353456,-0.63884366,1.0430243,False,True,False,no_failure
9,-0.94099784,-1.3843166,-0.48385695,0.087569326,-0.8574696,True,False,False,no_failure
10,0.058574054,0.40051952,-0.18411997,-0.6455696,0.7093498,False,False,True,no_failure
11,-2.2182088,-2.2767346,0.017743709,-0.37652776,-0.8574696,False,True,False,no_failure
12,-0.4412034,-0.8975408,-0.10459791,-0.34962374,0.9269636,False,True,False,no_failure
13,1.2247328,1.536313,0.26242694,-0.92806363,0.056508373,True,False,False,no_failure
14,-0.94099784,-0.08625621,0.15231949,-0.63884366,0.7673802,True,False,False,no_failure
15,0.4472823,0.15711926,-0.523618,0.027035056,-0.78493166,False,True,False,no_failure
16,-0.10802973,1.2118042,0.42147106,-1.1029409,0.7093498,True,False,False,no_failure
17,1.0025944,1.2929128,-0.16576873,-0.71283007,0.7673802,False,False,True,no_failure
18,-2.717986,-3.3313947,-0.08318813,-0.24200682,0.39018288,False,False,True,no_failure
19,-2.1071396,-2.2767346,0.4398223,-0.81372076,-0.50928754,True,False,False,no_failure
20,0.1696263,0.48162815,0.3572417,-1.1500232,0.07101596,False,True,False,no_failure
21,0.058574054,1.1306708,-0.13518332,-0.99532413,-1.089591,False,False,True,no_failure
22,1.0025944,1.2118042,-0.2085883,-0.120938025,0.11453872,True,False,False,no_failure
23,-1.3852407,-1.5465834,-0.13518332,-0.24873303,-0.5383027,False,True,False,no_failure
24,-0.16354737,-0.08625621,0.1003243,-0.51104873,-1.4377731,False,False,True,no_failure
25,-1.1631192,-1.2220497,-0.529735,0.44405,-0.2046282,True,False,False,no_failure
26,1.1691982,1.6174464,-0.4288032,-0.05367756,-1.3072048,False,True,False,no_failure
27,-2.051622,-1.9522258,0.14620242,-0.45724037,-0.29167372,False,True,False,no_failure
28,-0.10802973,1.2118042,0.36030024,-0.975146,0.17256907,False,True,False,no_failure
29,0.003039459,-0.57303196,0.36030024,-0.81372076,-1.1911442,True,False,False,no_failure
30,-1.1631192,-0.41076514,-0.30034453,-0.3361716,0.21609183,False,True,False,no_failure
31,2.168753,2.7532399,-0.022017319,-0.49759656,0.79639536,False,False,True,no_failure
32,1.1691982,1.7796885,-0.32787138,0.26917264,-1.6118642,False,False,True,no_failure
33,0.114108644,0.48162815,0.63251036,-1.0962149,-0.98803794,False,False,True,no_failure
34,-0.94099784,-0.32965645,-0.56032044,0.20191216,-1.481296,False,True,False,no_failure
