,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Type_H,Type_L,Type_M,label
0,-2.1447678,-2.408132,-0.120182596,-0.52502453,0.24077924,False,True,False,no_failure
1,-0.6298988,-1.4241093,0.06695237,-0.5723391,0.8802733,False,False,True,TWF
2,1.5883149,2.1840231,-0.21835175,-0.13974927,-0.74076974,False,True,False,no_failure
3,0.7767745,0.4619776,-0.028149005,-0.56558,-1.0976967,False,False,True,no_failure
4,-0.30527937,0.21595317,-0.15392825,0.27256274,0.06231579,False,True,False,no_failure
5,-1.2250153,-1.752117,-0.33492765,0.08330477,0.35975486,False,False,True,no_failure
6,-2.6316886,-3.2281632,0.1957994,-0.8359486,-0.9341051,False,False,True,no_failure
7,-0.90041226,-1.3421012,0.5854083,-1.1806685,-0.056659844,False,False,True,no_failure
8,0.7226685,0.2979613,0.22340947,-0.7480786,-0.071531795,False,True,False,no_failure
9,0.8308805,0.21595317,0.1467148,-0.4574324,-0.47307456,False,True,False,no_failure
10,-1.5496347,-1.0961019,-0.13858931,-0.2005823,-0.36897087,False,True,False,no_failure
11,0.23574756,0.4619776,-0.034284577,-0.5723391,-1.9602699,False,True,False,no_failure
12,-0.6839883,-1.2600931,-0.4269612,0.27256274,0.73155373,False,True,False,no_failure
13,0.12755208,1.2820089,-0.06496244,-0.47770998,-2.0941176,False,False,True,no_failure
14,-0.90041226,-0.19406246,-0.16619939,-0.092434965,-1.1571845,True,False,False,no_failure
15,2.0211463,2.4300475,0.26942626,-1.0049288,-1.8412943,False,False,True,no_failure
16,0.8308805,-0.2760706,0.5547304,-1.2685381,-2.0792456,False,True,False,no_failure
17,-1.2791213,-0.68608624,0.7111875,-1.4037224,-0.9935929,False,False,True,no_failure
18,1.9670404,2.8400633,0.109901376,-0.5790982,-0.22025134,False,True,False,no_failure
19,-0.90041226,-0.112054326,0.024003362,-0.6264128,0.047443837,False,True,False,no_failure
20,-1.0627137,-0.112054326,-0.08643694,-0.3222481,-1.8561662,False,True,False,no_failure
21,-0.90041226,-0.85007745,-0.022013433,-0.38308114,0.24077924,False,True,False,no_failure
22,1.5342089,1.0359845,0.33691755,-0.91029984,-2.1089895,False,True,False,no_failure
